cmdCode,refYear,reporterISO,reporterDesc,cmdDesc,partnerISO,primaryValue,qty,partner2Code,customsCode,motCode
8471,2019,DOM,Dominican Rep.,"Automatic data processing machines and units thereof, magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",W00,213108120.564,1891168.44,0,C00,0
8542,2019,CAN,Canada,Electronic integrated circuits,W00,1759644366.943,0.0,0,C00,0
8542,2019,CPV,Cabo Verde,Electronic integrated circuits,W00,151917.925,0.0,0,C00,0
8542,2019,CAF,Central African Rep.,Electronic integrated circuits,W00,32879.72,0.0,0,C00,0
8542,2019,LKA,Sri Lanka,Electronic integrated circuits,W00,33200130.227,0.0,0,C00,0
8542,2019,CHL,Chile,Electronic integrated circuits,W00,44025740.99,0.0,0,C00,0
8542,2019,CHN,China,Electronic integrated circuits,W00,306396731089.0,0.0,0,C00,0
8542,2019,COL,Colombia,Electronic integrated circuits,W00,63081377.2,0.0,0,C00,0
8542,2019,COM,Comoros,Electronic integrated circuits,W00,57627.202,0.0,0,C00,0
8542,2019,COG,Congo,Electronic integrated circuits,W00,517824.508,0.0,0,C00,0
8542,2019,COD,Dem. Rep. of the Congo,Electronic integrated circuits,W00,563988.908,0.0,0,C00,0
8542,2019,CRI,Costa Rica,Electronic integrated circuits,W00,137065216.62,0.0,0,C00,0
8542,2019,HRV,Croatia,Electronic integrated circuits,W00,28076264.0,0.0,0,C00,0
8542,2019,CUB,Cuba,Electronic integrated circuits,W00,19998806.3,0.0,0,C00,0
8542,2019,CYP,Cyprus,Electronic integrated circuits,W00,2002949.079,0.0,0,C00,0
8542,2019,CZE,Czechia,Electronic integrated circuits,W00,3077798553.0,0.0,0,C00,0
8542,2019,BEN,Benin,Electronic integrated circuits,W00,20917.998,0.0,0,C00,0
8542,2019,DNK,Denmark,Electronic integrated circuits,W00,274170368.428,0.0,0,C00,0
8542,2019,DMA,Dominica,Electronic integrated circuits,W00,62029.813,0.0,0,C00,0
8542,2019,DOM,Dominican Rep.,Electronic integrated circuits,W00,74078237.191,0.0,0,C00,0
8703,2019,CAN,Canada,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,28493437102.006,1350876.0,0,C00,0
8703,2019,CPV,Cabo Verde,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,34052134.613,1826.37,0,C00,0
8703,2019,CAF,Central African Rep.,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,8984461.169,384.577,0,C00,0
8703,2019,LKA,Sri Lanka,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,649608821.058,52035.0,0,C00,0
8703,2019,CHL,Chile,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,3657088654.251,420095.639,0,C00,0
8703,2019,CHN,China,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,47056767080.0,1032822.0,0,C00,0
8703,2019,COL,Colombia,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,2445363762.38,189024.474,0,C00,0
8703,2019,COM,Comoros,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,17381461.05,1324.79,0,C00,0
8703,2019,COG,Congo,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,30883231.873,0.0,0,C00,0
8703,2019,COD,Dem. Rep. of the Congo,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,86791371.93,31617.0,0,C00,0
8703,2019,CRI,Costa Rica,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,543900007.93,26085.154,0,C00,0
8703,2019,HRV,Croatia,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,1486937117.0,105901.094,0,C00,0
8703,2019,CUB,Cuba,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,86060644.66,5738.0,0,C00,0
8703,2019,CYP,Cyprus,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,562369610.544,41312.147,0,C00,0
8703,2019,CZE,Czechia,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,4311979763.0,243240.0,0,C00,0
8703,2019,BEN,Benin,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,63219911.059,3391.776,0,C00,0
8703,2019,DNK,Denmark,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,4922358823.275,0.0,0,C00,0
8703,2019,DMA,Dominica,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,6721964.361,337.321,0,C00,0
8703,2019,DOM,Dominican Rep.,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",W00,1027355011.695,2234.775,0,C00,0
8708,2019,CAN,Canada,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,19825167431.928,1739714205.008,0,C00,0
8708,2019,CPV,Cabo Verde,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,3143870.929,641124.0,0,C00,0
8708,2019,CAF,Central African Rep.,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,5897769.669,0.0,0,C00,0
8708,2019,LKA,Sri Lanka,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,59340241.277,21357226.07,0,C00,0
8708,2019,CHL,Chile,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,624535947.435,62225090.319,0,C00,0
8708,2019,CHN,China,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,25233462804.0,1628850926.476,0,C00,0
8708,2019,COL,Colombia,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,678564351.87,98952158.963,0,C00,0
8708,2019,COM,Comoros,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,347775.713,294313.0,0,C00,0
8708,2019,COG,Congo,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,13423554.25,6658061.21,0,C00,0
8708,2019,COD,Dem. Rep. of the Congo,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,53078057.782,10738171.024,0,C00,0
8708,2019,CRI,Costa Rica,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,82257681.55,12681243.008,0,C00,0
8708,2019,HRV,Croatia,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,230707514.0,24892216.82,0,C00,0
8708,2019,CUB,Cuba,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,84268489.84,5904518.169,0,C00,0
8708,2019,CYP,Cyprus,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,63859947.653,5135065.0,0,C00,0
8708,2019,CZE,Czechia,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,11175390939.0,0.0,0,C00,0
8708,2019,BEN,Benin,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,4438299.779,1642396.072,0,C00,0
8708,2019,DNK,Denmark,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,885813209.262,90036237.0,0,C00,0
8708,2019,DMA,Dominica,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,2434169.96,299150.996,0,C00,0
8708,2019,DOM,Dominican Rep.,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",W00,97342908.651,0.0,0,C00,0
2709,2019,ECU,Ecuador,Petroleum oils and oils obtained from bituminous minerals; crude,W00,1017843.67,1909949.62,0,C00,0
2709,2019,SLV,El Salvador,Petroleum oils and oils obtained from bituminous minerals; crude,W00,12484.42,8445.28,0,C00,0
2709,2019,ETH,Ethiopia,Petroleum oils and oils obtained from bituminous minerals; crude,W00,30084.46,16299.0,0,C00,0
2709,2019,EST,Estonia,Petroleum oils and oils obtained from bituminous minerals; crude,W00,203035.039,1128332.2,0,C00,0
2709,2019,FJI,Fiji,Petroleum oils and oils obtained from bituminous minerals; crude,W00,1565503.885,629518.43,0,C00,0
2709,2019,FIN,Finland,Petroleum oils and oils obtained from bituminous minerals; crude,W00,5802467549.912,0.0,0,C00,0
2709,2019,FRA,France,Petroleum oils and oils obtained from bituminous minerals; crude,W00,24530918329.6,0.0,0,C00,0
2709,2019,PYF,French Polynesia,Petroleum oils and oils obtained from bituminous minerals; crude,W00,2836.071,374.051,0,C00,0
2709,2019,GAB,Gabon,Petroleum oils and oils obtained from bituminous minerals; crude,W00,3378.64,157.0,0,C00,0
2709,2019,GEO,Georgia,Petroleum oils and oils obtained from bituminous minerals; crude,W00,5663390.13,9085130.0,0,C00,0
2709,2019,PSE,State of Palestine,Petroleum oils and oils obtained from bituminous minerals; crude,W00,526210.52,1092012.542,0,C00,0
2710,2019,ECU,Ecuador,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",W00,2317430508.674,3598790191.549,0,C00,0
2710,2019,SLV,El Salvador,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",W00,1259158206.83,2094400043.822,0,C00,0
2710,2019,ETH,Ethiopia,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",W00,2426335373.74,0.0,0,C00,0
2710,2019,EST,Estonia,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",W00,1526755121.943,2918376316.597,0,C00,0
2710,2019,FJI,Fiji,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",W00,494256706.183,921091386.432,0,C00,0
